Rk,Class,Unnamed: 2,Player,Team,Conf,Minutes_Avg,PRPG,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,Unnamed: 21,3P/100,3P,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Last_5_Avg_FP,Opp_Def_Rank
230,Sr,6-4,Davion Bailey,Incarnate Word,Slnd,35.68,3.4,2.1,110.0,27.4,50.2,53.5,0.9,10.4,10.1,9.8,0.7,1.6,29.0,33-84,0.393,17.6,52-137,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,205
231,Jr,6-7,Andrew Meadow,Boise St.,MWC,28.72,3.4,5.4,124.8,16.8,61.7,63.4,2.9,9.7,7.2,9.3,0.0,1.4,53.3,39-62,0.629,6.4,18-45,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,116
232,Fr,6-6,Lewis Walker,North Carolina A&T,CAA,31.6,3.4,1.0,122.5,23.1,50.4,61.2,4.7,12.9,12.2,12.6,0.5,1.1,71.4,52-96,0.542,5.1,10-37,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,138
233,Jr,7-2,Motiejus Krivas,Arizona,B12,23.56,3.4,9.2,130.1,20.0,60.3,67.2,16.5,21.8,6.8,17.2,7.8,1.4,75.3,57-93,0.613,0.6,1-4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,276
234,Fr,6-1,Preston Edmead,Hofstra,CAA,34.04,3.4,1.6,113.7,24.4,50.0,57.5,1.4,7.0,23.0,18.8,0.0,0.9,50.3,27-63,0.429,12.0,37-102,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,275
235,Sr,6-0,Jamison Guerra,Idaho St.,BSky,27.480000000000004,3.4,1.3,125.6,21.2,56.4,62.0,2.7,8.3,31.5,18.3,0.3,2.0,46.5,33-65,0.508,5.6,16-36,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,99
236,Sr,6-7,Devin McGlockton,Vanderbilt,SEC,24.04,3.4,5.8,134.1,17.7,64.7,65.0,12.9,21.1,10.3,11.1,3.0,1.3,16.8,62-80,0.775,5.5,10-39,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,16
237,Jr,6-9,Jordan Burks,UCF,B12,24.88,3.4,6.9,128.8,19.8,54.5,59.1,6.6,13.5,4.2,8.0,2.7,1.6,34.8,36-67,0.537,10.3,24-65,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,39
238,Jr,6-8,Jasen Green,Creighton,BE,26.16,3.4,5.9,124.1,18.0,63.0,65.0,6.9,13.5,17.2,17.6,2.2,1.2,35.2,53-81,0.654,3.6,10-27,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,52
239,Jr,6-2,BJ Davis,San Diego St.,MWC,21.560000000000002,3.4,10.0,125.1,24.7,50.4,58.7,3.9,14.0,20.4,8.8,1.3,3.8,50.4,31-74,0.419,8.6,20-47,0.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,266
240,Sr,6-2,Kamrin Oriol,North Florida,ASun,34.92,3.4,-0.6,108.3,27.0,58.4,62.2,0.6,6.9,22.8,20.4,0.2,1.5,23.7,56-106,0.528,11.7,48-113,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,38
241,So,6-7,Justin McBride,James Madison,SB,28.119999999999997,3.4,3.8,119.0,27.6,59.1,62.9,5.6,16.3,11.7,14.0,3.2,0.9,39.9,75-132,0.568,7.9,26-61,0.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,141
242,Sr,6-0,Damarco Minor,Pittsburgh,ACC,32.2,3.4,6.2,123.9,16.6,57.9,62.5,1.8,12.5,19.1,17.7,1.2,3.3,30.8,23-42,0.548,9.2,31-78,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,296
243,Sr,6-2,Jadin Booth,Samford,SC,32.72,3.4,1.7,117.2,24.3,55.6,61.6,0.8,11.0,13.3,11.8,0.2,1.4,38.6,27-58,0.466,15.9,55-139,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,220
244,So,6-6,Jelani Hamilton,Georgia St.,SB,21.28,3.3,5.7,114.2,28.7,48.5,60.5,2.2,10.8,15.0,14.7,1.0,3.4,64.7,33-77,0.429,10.0,22-59,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,63
245,Fr,6-6,Jamier Jones,Providence,BE,18.64,3.3,6.8,135.5,19.5,72.8,72.6,7.1,12.2,13.7,13.5,0.7,1.9,47.8,55-79,0.696,2.3,8-13,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,12
246,Sr,6-10,Parsa Fallah,Oklahoma St.,B12,21.16,3.3,7.9,123.6,22.8,64.5,66.5,8.8,18.4,6.6,13.9,2.0,2.6,54.8,74-114,0.649,1.5,4-10,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,61
247,Fr,6-3,Michael Cooper,Wright St.,Horz,23.72,3.3,4.8,119.8,24.4,57.5,59.6,1.4,11.5,17.9,10.7,0.9,1.8,20.3,52-89,0.584,10.4,24-64,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,131
248,Jr,6-11,Cooper Bowser,Furman,SC,20.08,3.3,4.0,130.3,16.2,79.0,77.4,7.4,13.5,10.0,20.3,4.6,0.6,48.4,49-62,0.79,0.0,0-0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,15
249,Jr,6-3,Josh Pascarelli,Colorado St.,MWC,28.52,3.3,2.6,130.0,17.0,65.9,67.2,1.6,8.6,9.6,11.9,0.0,1.6,11.4,24-40,0.6,13.4,42-92,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,127
250,Sr,6-7,J'Vonne Hadley,Louisville,ACC,25.0,3.3,6.3,129.8,15.4,60.6,61.5,6.1,14.6,11.5,9.8,1.4,1.8,30.6,43-74,0.581,4.7,15-34,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,63
251,Sr,6-10,KeShawn Murphy,Auburn,SEC,20.08,3.3,6.8,130.4,17.8,64.4,64.1,9.3,20.7,10.1,12.6,3.7,1.9,29.9,49-74,0.662,4.0,9-23,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,252
252,Sr,6-10,Jalen Washington,Vanderbilt,SEC,19.32,3.3,10.5,139.1,19.9,64.3,69.1,11.1,19.1,8.2,9.6,8.6,2.4,83.3,45-65,0.692,3.3,6-19,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,226
253,So,6-4,Zoom Diallo,Washington,B10,26.0,3.3,5.6,118.5,26.2,54.2,60.2,2.9,11.3,28.1,17.5,0.0,2.0,39.9,68-126,0.54,3.9,10-27,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,291
254,Sr,6-7,Elijah Mahi,Santa Clara,WCC,30.32,3.3,4.9,117.6,22.2,54.0,55.6,6.2,11.9,15.1,14.5,1.3,2.1,23.8,69-126,0.548,9.1,31-88,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,157
255,Jr,6-6,LeJuan Watts,Texas Tech,B12,26.319999999999997,3.3,4.2,115.5,24.4,51.0,57.2,7.4,17.0,18.5,17.8,1.0,0.9,43.8,54-108,0.5,4.9,13-36,0.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,236
256,Fr,6-7,Nasir Meyer,Wyoming,MWC,25.8,3.3,5.9,124.8,22.2,58.8,62.5,4.8,18.0,17.9,15.0,0.0,1.8,36.5,46-79,0.582,8.4,23-58,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,179
257,Sr,6-2,Themus Fulks,UCF,B12,31.0,3.3,3.1,115.1,23.9,54.4,58.5,2.0,9.8,34.3,23.5,0.0,1.3,39.7,59-115,0.513,2.7,10-21,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,247
258,Sr,6-6,Corey Washington,SMU,ACC,27.560000000000002,3.3,4.2,125.8,17.8,59.7,65.3,9.2,12.4,4.1,15.9,2.4,2.3,53.8,41-71,0.577,5.9,20-48,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,269
259,Sr,6-1,Keon Thompson,Stephen F. Austin,Slnd,30.239999999999995,3.3,3.1,110.1,31.0,49.7,53.8,3.9,14.5,29.9,16.8,0.5,1.6,41.3,75-146,0.514,5.4,11-38,0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,63
260,Jr,6-7,Camden Heide,Texas,SEC,19.56,3.3,5.6,151.8,11.0,71.1,71.3,5.0,9.9,5.8,6.9,0.7,1.7,15.6,11-17,0.647,9.0,23-47,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,259
261,Sr,6-2,Donovan Oday,Northern Kentucky,Horz,27.400000000000002,3.3,6.0,123.4,26.2,56.5,63.8,3.4,12.6,12.0,13.9,1.6,4.2,54.0,65-106,0.613,9.1,23-70,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,10
262,Fr,6-4,Jordan Ellerbee,Florida Gulf Coast,ASun,25.4,3.3,2.8,123.1,23.9,60.1,64.0,6.2,10.3,15.6,15.2,0.3,1.7,31.8,53-83,0.639,9.5,24-65,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,152
263,Sr,6-9,Marquel Sutton,LSU,SEC,29.960000000000004,3.3,3.3,123.4,18.8,53.4,59.3,10.4,21.3,3.2,11.2,1.8,0.9,41.1,51-83,0.614,7.4,18-63,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,41
264,So,6-11,Patrick Ngongba,Duke,ACC,23.680000000000003,3.3,7.3,125.4,21.2,66.5,67.4,12.1,17.7,14.9,18.8,7.0,1.2,71.1,57-78,0.731,2.8,5-19,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,272
265,Sr,6-7,Bryce Hopkins,St. John's (NY),BE,25.16,3.3,7.4,117.5,24.4,52.0,56.8,8.2,13.1,17.5,14.5,1.7,2.4,49.3,58-107,0.542,6.1,14-45,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,67
266,Jr,6-3,Trevian Carson,North Dakota St.,Sum,32.92,3.3,6.4,125.2,18.5,62.0,62.5,9.2,14.2,14.5,15.7,1.1,3.9,16.0,63-100,0.63,6.7,25-62,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549999999999997,173
267,Jr,6-10,Blake Buchanan,Iowa St.,B12,25.2,3.2,7.8,130.6,17.7,68.0,65.1,15.2,15.1,11.4,14.3,6.4,1.8,37.0,68-100,0.68,0.0,0-0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,233
268,So,6-3,Mikey Lewis,Saint Mary's,WCC,26.560000000000002,3.2,2.8,115.6,24.7,46.7,52.3,2.0,10.0,16.5,10.8,0.2,1.3,25.4,41-110,0.373,11.6,34-87,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,28
269,So,6-1,Jeremiah Wilkinson,Georgia,SEC,22.240000000000002,3.2,7.0,121.0,28.2,52.0,56.8,2.7,5.7,12.1,8.6,1.0,3.9,43.7,53-102,0.52,13.5,33-95,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,357
270,Sr,6-10,Kyle Evans,UC Irvine,BW,26.72,3.2,8.8,131.9,16.7,66.5,69.0,9.0,22.9,8.7,11.9,11.7,1.1,37.5,73-106,0.689,0.8,1-6,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,275
271,Jr,6-4,Trey Autry,George Washington,A10,24.759999999999998,3.2,4.9,134.6,15.6,65.5,67.6,3.3,11.1,11.0,13.4,0.6,1.7,27.3,21-30,0.7,11.1,34-80,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,274
272,So,6-4,Devin Vanterpool,Florida Atlantic,Amer,28.119999999999997,3.2,7.1,116.0,24.0,55.8,59.8,4.4,19.9,18.0,18.1,2.3,3.2,34.8,37-70,0.529,11.2,33-85,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,337
273,Jr,6-6,Devin Royal,Ohio State,B10,28.799999999999997,3.2,3.6,115.9,22.4,55.8,60.1,7.9,13.7,11.9,17.3,0.5,1.5,38.8,52-92,0.565,6.3,17-47,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,165
274,Sr,6-10,Tarris Reed Jr.,Connecticut,BE,17.480000000000004,3.2,9.9,114.9,26.0,62.2,62.9,8.8,25.9,16.7,18.1,8.7,2.6,41.4,69-110,0.627,0.2,0-1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,294
275,Jr,6-7,Andrej Stojakovic,Illinois,B10,24.8,3.2,4.8,115.5,24.7,55.1,58.2,6.3,11.4,7.4,15.6,2.6,1.0,25.7,77-123,0.626,6.5,10-44,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,52
276,So,6-6,Isaiah Evans,Duke,ACC,27.319999999999997,3.2,7.1,119.6,21.5,53.3,59.2,1.9,11.8,8.7,13.2,4.2,1.9,35.3,26-51,0.51,14.9,42-116,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,42
277,Sr,5-11,Kaden Metheny,Liberty,CUSA,33.879999999999995,3.2,2.3,120.3,19.3,60.6,62.1,0.6,7.8,14.5,9.2,0.0,1.4,15.6,27-45,0.6,13.1,39-96,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,296
278,Jr,6-7,Liutauras Lelevicius,TCU,B12,22.480000000000004,3.2,5.1,138.6,13.1,62.5,67.4,3.5,13.9,6.2,8.4,0.9,1.3,27.3,19-27,0.704,9.6,24-61,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,87
279,Fr,7-0,Malachi Moreno,Kentucky,SEC,21.840000000000003,3.2,8.6,133.4,18.9,65.1,66.6,13.8,18.3,12.7,12.8,6.7,2.1,61.6,56-85,0.659,0.2,0-1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,182
280,Jr,6-8,Adam Olsen,South Alabama,SB,34.92,3.2,1.7,119.6,21.3,55.2,60.6,1.2,8.3,5.9,9.6,0.0,1.7,34.4,29-63,0.46,13.7,48-120,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,249
281,Fr,6-4,Brayden Burries,Arizona,B12,27.639999999999997,3.2,8.0,121.3,20.9,57.6,59.8,1.9,13.8,15.0,14.6,0.9,3.6,29.2,61-100,0.61,8.7,25-71,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,49
282,Sr,6-0,Sam Hoiberg,Nebraska,B10,29.0,3.2,7.8,130.5,14.3,57.3,59.3,3.5,14.9,22.4,10.4,0.6,3.6,28.1,37-61,0.607,4.4,12-35,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,299
283,So,6-5,Aiden Tobiason,Temple,Amer,34.36000000000001,3.2,1.9,119.0,19.0,57.3,61.9,1.4,9.9,12.6,13.6,0.7,2.1,40.6,43-77,0.558,7.7,26-66,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,107
284,Jr,6-8,Tyler Tejada,Towson,CAA,35.6,3.2,2.5,111.5,25.0,46.7,52.1,3.4,15.6,14.6,13.0,1.5,1.1,29.1,73-146,0.5,9.1,23-84,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,318
285,Sr,6-2,Tony Osburn,Nebraska Omaha,Sum,29.0,3.2,1.2,121.8,19.5,57.1,59.9,0.8,6.1,17.0,8.9,0.3,2.0,27.7,28-51,0.549,12.0,35-90,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,251
286,Sr,6-4,Larry Hughes II,Cal St. Northridge,BW,29.2,3.2,5.6,118.4,22.5,57.8,61.8,0.5,8.9,7.2,11.6,1.1,3.3,30.1,41-82,0.5,14.0,52-124,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,136
287,Sr,6-8,Danilo Jovanovich,Milwaukee,Horz,30.72,3.2,4.2,126.7,17.7,59.9,61.3,6.9,15.6,14.3,11.3,1.6,1.6,21.2,77-133,0.579,1.5,7-13,0.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,76
288,Sr,6-7,Connor Hollenbeck,Idaho St.,BSky,31.68,3.2,1.5,119.4,21.2,50.4,56.0,7.9,11.2,11.7,12.7,1.3,1.5,47.8,22-59,0.373,10.4,31-77,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,51
289,Jr,6-3,Tylen Riley,Tulsa,Amer,25.68,3.2,1.0,113.8,29.3,49.2,59.6,3.5,8.6,27.2,20.8,0.3,1.9,68.3,44-100,0.44,4.2,12-26,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,222
290,So,6-6,Chance Westry,UAB,Amer,28.32,3.2,6.4,116.7,26.0,51.6,56.8,3.3,9.2,28.6,13.4,2.1,2.6,58.1,69-124,0.556,4.6,9-36,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,52
291,Sr,6-3,Javohn Garcia,McNeese St.,Slnd,28.88,3.2,6.0,126.4,17.3,53.9,58.6,2.0,9.9,10.9,7.7,3.1,3.7,42.6,41-74,0.554,6.0,14-41,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,334
292,Jr,6-4,Finley Bizjack,Butler,BE,31.12,3.2,1.8,115.4,21.9,52.0,56.1,1.5,4.6,12.4,13.6,0.4,1.3,29.4,49-91,0.538,12.4,38-113,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,54
293,Sr,7-0,Christoph Tilly,Ohio State,B10,26.639999999999997,3.2,3.5,116.4,25.1,48.8,57.6,8.2,15.1,16.9,15.5,2.8,1.0,75.4,52-85,0.612,5.3,5-37,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,327
294,Jr,6-1,Brandon Rechsteiner,Colorado St.,MWC,28.28,3.2,2.5,121.5,21.3,58.7,60.1,1.6,5.0,22.5,15.1,0.0,1.3,13.2,23-46,0.5,14.3,41-98,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,294
295,Sr,6-3,Kashie Natt,Sam Houston St.,CUSA,24.92,3.2,9.4,123.4,23.1,54.2,60.5,10.9,16.9,13.0,14.9,3.0,5.5,60.4,38-79,0.481,4.7,13-27,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,165
296,Sr,6-7,Rashaun Agee,Texas A&M,SEC,22.72,3.2,8.2,128.0,23.8,55.6,61.3,12.7,28.6,13.6,11.5,4.1,2.6,61.2,64-101,0.634,4.7,7-33,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,354
297,So,5-11,Amir Lindsey,Albany,AE,36.96,3.2,0.2,110.9,24.4,51.0,53.8,1.9,7.2,25.1,14.0,0.0,1.8,30.6,58-119,0.487,8.4,27-74,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,30
298,Sr,6-4,Zane Nelson,Denver,Sum,22.240000000000002,3.2,4.7,120.9,28.2,57.1,62.0,2.6,13.8,22.1,14.6,0.9,2.6,45.3,35-83,0.422,10.3,33-65,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.200000000000003,48
