Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Sr,6-6,Terry Anderson,High Point,BSth,63.1,3.4,3.7,128.2,23.4,61.5,65.4,11.2,16.2,9.3,12.9,0.3,1.9,66.9,65-107,.607,3.2,10-23,.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Jr,5-10,Tijan Saine Jr.,Weber St.,BSky,76.8,3.4,2.1,122.0,21.3,52.5,59.9,1.0,8.3,24.4,14.0,0.0,1.4,55.6,40-81,.494,7.3,23-61,.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Sr,6-6,Travis Harper II,Tennessee St.,OVC,77.0,3.4,5.7,123.7,21.3,63.4,67.0,3.1,10.2,6.7,16.0,2.7,2.2,36.6,35-59,.593,11.8,38-86,.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Sr,6-0,Braden Sparks,Fairfield,MAAC,81.0,3.4,3.4,120.3,24.1,53.0,57.5,1.2,11.3,15.2,11.8,0.2,1.6,27.1,42-102,.412,13.2,49-116,.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,So,7-0,Matas Vokietaitis,Texas,SEC,58.0,3.4,2.8,121.1,27.0,61.3,65.0,10.7,18.0,2.8,14.9,3.2,0.8,127.4,65-106,.613,0.0,0-0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Jr,6-7,Andrija Bukumirović,Tennessee Martin,OVC,79.1,3.4,5.3,124.8,20.4,60.7,61.3,10.7,18.2,6.6,10.4,4.8,2.7,36.2,53-87,.609,8.2,25-62,.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Sr,6-5,Ethan Roberts,Penn,Ivy,56.0,3.4,1.7,110.8,28.5,45.0,54.2,2.8,10.9,19.6,12.8,0.3,2.2,58.0,35-91,.385,7.3,16-40,.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Sr,6-8,Jamichael Stillwell,UCF,B12,66.5,3.4,7.7,124.2,21.4,56.8,59.8,15.1,20.2,11.4,15.2,1.0,2.8,43.2,58-101,.574,2.5,6-17,.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Jr,6-9,Keanu Dawes,Utah,B12,74.1,3.4,4.3,122.2,19.7,61.4,64.1,8.3,24.2,16.1,17.3,1.6,1.1,44.1,66-86,.767,4.8,8-41,.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Sr,6-5,Nasir Mann,Queens,ASun,75.7,3.4,2.5,125.8,21.4,57.7,61.0,6.7,13.5,16.5,11.9,0.7,2.1,38.0,67-111,.604,6.0,18-52,.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Sr,6-4,Davion Bailey,Incarnate Word,Slnd,89.2,3.4,2.1,110.0,27.4,50.2,53.5,0.9,10.4,10.1,9.8,0.7,1.6,29.0,33-84,.393,17.6,52-137,.380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Jr,6-7,Andrew Meadow,Boise St.,MWC,71.8,3.4,5.4,124.8,16.8,61.7,63.4,2.9,9.7,7.2,9.3,0.0,1.4,53.3,39-62,.629,6.4,18-45,.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Fr,6-6,Lewis Walker,North Carolina A&T,CAA,79.0,3.4,1.0,122.5,23.1,50.4,61.2,4.7,12.9,12.2,12.6,0.5,1.1,71.4,52-96,.542,5.1,10-37,.270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Jr,7-2,Motiejus Krivas,Arizona,B12,58.9,3.4,9.2,130.1,20.0,60.3,67.2,16.5,21.8,6.8,17.2,7.8,1.4,75.3,57-93,.613,0.6,1-4,.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Fr,6-1,Preston Edmead,Hofstra,CAA,85.1,3.4,1.6,113.7,24.4,50.0,57.5,1.4,7.0,23.0,18.8,0.0,0.9,50.3,27-63,.429,12.0,37-102,.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Sr,6-0,Jamison Guerra,Idaho St.,BSky,68.7,3.4,1.3,125.6,21.2,56.4,62.0,2.7,8.3,31.5,18.3,0.3,2.0,46.5,33-65,.508,5.6,16-36,.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Sr,6-7,Devin McGlockton,Vanderbilt,SEC,60.1,3.4,5.8,134.1,17.7,64.7,65.0,12.9,21.1,10.3,11.1,3.0,1.3,16.8,62-80,.775,5.5,10-39,.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Jr,6-9,Jordan Burks,UCF,B12,62.2,3.4,6.9,128.8,19.8,54.5,59.1,6.6,13.5,4.2,8.0,2.7,1.6,34.8,36-67,.537,10.3,24-65,.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Jr,6-8,Jasen Green,Creighton,BE,65.4,3.4,5.9,124.1,18.0,63.0,65.0,6.9,13.5,17.2,17.6,2.2,1.2,35.2,53-81,.654,3.6,10-27,.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Jr,6-2,BJ Davis,San Diego St.,MWC,53.9,3.4,10.0,125.1,24.7,50.4,58.7,3.9,14.0,20.4,8.8,1.3,3.8,50.4,31-74,.419,8.6,20-47,.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Sr,6-2,Kamrin Oriol,North Florida,ASun,87.3,3.4,-0.6,108.3,27.0,58.4,62.2,0.6,6.9,22.8,20.4,0.2,1.5,23.7,56-106,.528,11.7,48-113,.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,So,6-7,Justin McBride,James Madison,SB,70.3,3.4,3.8,119.0,27.6,59.1,62.9,5.6,16.3,11.7,14.0,3.2,0.9,39.9,75-132,.568,7.9,26-61,.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Sr,6-0,Damarco Minor,Pittsburgh,ACC,80.5,3.4,6.2,123.9,16.6,57.9,62.5,1.8,12.5,19.1,17.7,1.2,3.3,30.8,23-42,.548,9.2,31-78,.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Sr,6-2,Jadin Booth,Samford,SC,81.8,3.4,1.7,117.2,24.3,55.6,61.6,0.8,11.0,13.3,11.8,0.2,1.4,38.6,27-58,.466,15.9,55-139,.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,So,6-6,Jelani Hamilton,Georgia St.,SB,53.2,3.3,5.7,114.2,28.7,48.5,60.5,2.2,10.8,15.0,14.7,1.0,3.4,64.7,33-77,.429,10.0,22-59,.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Fr,6-6,Jamier Jones,Providence,BE,46.6,3.3,6.8,135.5,19.5,72.8,72.6,7.1,12.2,13.7,13.5,0.7,1.9,47.8,55-79,.696,2.3,8-13,.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Sr,6-10,Parsa Fallah,Oklahoma St.,B12,52.9,3.3,7.9,123.6,22.8,64.5,66.5,8.8,18.4,6.6,13.9,2.0,2.6,54.8,74-114,.649,1.5,4-10,.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Fr,6-3,Michael Cooper,Wright St.,Horz,59.3,3.3,4.8,119.8,24.4,57.5,59.6,1.4,11.5,17.9,10.7,0.9,1.8,20.3,52-89,.584,10.4,24-64,.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Jr,6-11,Cooper Bowser,Furman,SC,50.2,3.3,4.0,130.3,16.2,79.0,77.4,7.4,13.5,10.0,20.3,4.6,0.6,48.4,49-62,.790,0.0,0-0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Jr,6-3,Josh Pascarelli,Colorado St.,MWC,71.3,3.3,2.6,130.0,17.0,65.9,67.2,1.6,8.6,9.6,11.9,0.0,1.6,11.4,24-40,.600,13.4,42-92,.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Sr,6-7,J'Vonne Hadley,Louisville,ACC,62.5,3.3,6.3,129.8,15.4,60.6,61.5,6.1,14.6,11.5,9.8,1.4,1.8,30.6,43-74,.581,4.7,15-34,.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Sr,6-10,KeShawn Murphy,Auburn,SEC,50.2,3.3,6.8,130.4,17.8,64.4,64.1,9.3,20.7,10.1,12.6,3.7,1.9,29.9,49-74,.662,4.0,9-23,.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Sr,6-10,Jalen Washington,Vanderbilt,SEC,48.3,3.3,10.5,139.1,19.9,64.3,69.1,11.1,19.1,8.2,9.6,8.6,2.4,83.3,45-65,.692,3.3,6-19,.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,So,6-4,Zoom Diallo,Washington,B10,65.0,3.3,5.6,118.5,26.2,54.2,60.2,2.9,11.3,28.1,17.5,0.0,2.0,39.9,68-126,.540,3.9,10-27,.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Sr,6-7,Elijah Mahi,Santa Clara,WCC,75.8,3.3,4.9,117.6,22.2,54.0,55.6,6.2,11.9,15.1,14.5,1.3,2.1,23.8,69-126,.548,9.1,31-88,.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Jr,6-6,LeJuan Watts,Texas Tech,B12,65.8,3.3,4.2,115.5,24.4,51.0,57.2,7.4,17.0,18.5,17.8,1.0,0.9,43.8,54-108,.500,4.9,13-36,.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Fr,6-7,Nasir Meyer,Wyoming,MWC,64.5,3.3,5.9,124.8,22.2,58.8,62.5,4.8,18.0,17.9,15.0,0.0,1.8,36.5,46-79,.582,8.4,23-58,.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Sr,6-2,Themus Fulks,UCF,B12,77.5,3.3,3.1,115.1,23.9,54.4,58.5,2.0,9.8,34.3,23.5,0.0,1.3,39.7,59-115,.513,2.7,10-21,.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Sr,6-6,Corey Washington,SMU,ACC,68.9,3.3,4.2,125.8,17.8,59.7,65.3,9.2,12.4,4.1,15.9,2.4,2.3,53.8,41-71,.577,5.9,20-48,.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Sr,6-1,Keon Thompson,Stephen F. Austin,Slnd,75.6,3.3,3.1,110.1,31.0,49.7,53.8,3.9,14.5,29.9,16.8,0.5,1.6,41.3,75-146,.514,5.4,11-38,.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Jr,6-7,Camden Heide,Texas,SEC,48.9,3.3,5.6,151.8,11.0,71.1,71.3,5.0,9.9,5.8,6.9,0.7,1.7,15.6,11-17,.647,9.0,23-47,.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Sr,6-2,Donovan Oday,Northern Kentucky,Horz,68.5,3.3,6.0,123.4,26.2,56.5,63.8,3.4,12.6,12.0,13.9,1.6,4.2,54.0,65-106,.613,9.1,23-70,.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Fr,6-4,Jordan Ellerbee,Florida Gulf Coast,ASun,63.5,3.3,2.8,123.1,23.9,60.1,64.0,6.2,10.3,15.6,15.2,0.3,1.7,31.8,53-83,.639,9.5,24-65,.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Sr,6-9,Marquel Sutton,LSU,SEC,74.9,3.3,3.3,123.4,18.8,53.4,59.3,10.4,21.3,3.2,11.2,1.8,0.9,41.1,51-83,.614,7.4,18-63,.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,So,6-11,Patrick Ngongba,Duke,ACC,59.2,3.3,7.3,125.4,21.2,66.5,67.4,12.1,17.7,14.9,18.8,7.0,1.2,71.1,57-78,.731,2.8,5-19,.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Sr,6-7,Bryce Hopkins,St. John's,BE,62.9,3.3,7.4,117.5,24.4,52.0,56.8,8.2,13.1,17.5,14.5,1.7,2.4,49.3,58-107,.542,6.1,14-45,.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Jr,6-3,Trevian Carson,North Dakota St.,Sum,82.3,3.3,6.4,125.2,18.5,62.0,62.5,9.2,14.2,14.5,15.7,1.1,3.9,16.0,63-100,.630,6.7,25-62,.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Jr,6-10,Blake Buchanan,Iowa St.,B12,63.0,3.2,7.8,130.6,17.7,68.0,65.1,15.2,15.1,11.4,14.3,6.4,1.8,37.0,68-100,.680,0.0,0-0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,So,6-3,Mikey Lewis,Saint Mary's,WCC,66.4,3.2,2.8,115.6,24.7,46.7,52.3,2.0,10.0,16.5,10.8,0.2,1.3,25.4,41-110,.373,11.6,34-87,.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,So,6-1,Jeremiah Wilkinson,Georgia,SEC,55.6,3.2,7.0,121.0,28.2,52.0,56.8,2.7,5.7,12.1,8.6,1.0,3.9,43.7,53-102,.520,13.5,33-95,.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Sr,6-10,Kyle Evans,UC Irvine,BW,66.8,3.2,8.8,131.9,16.7,66.5,69.0,9.0,22.9,8.7,11.9,11.7,1.1,37.5,73-106,.689,0.8,1-6,.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Jr,6-4,Trey Autry,George Washington,A10,61.9,3.2,4.9,134.6,15.6,65.5,67.6,3.3,11.1,11.0,13.4,0.6,1.7,27.3,21-30,.700,11.1,34-80,.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,So,6-4,Devin Vanterpool,Florida Atlantic,Amer,70.3,3.2,7.1,116.0,24.0,55.8,59.8,4.4,19.9,18.0,18.1,2.3,3.2,34.8,37-70,.529,11.2,33-85,.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Jr,6-6,Devin Royal,Ohio St.,B10,72.0,3.2,3.6,115.9,22.4,55.8,60.1,7.9,13.7,11.9,17.3,0.5,1.5,38.8,52-92,.565,6.3,17-47,.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Sr,6-10,Tarris Reed Jr.,Connecticut,BE,43.7,3.2,9.9,114.9,26.0,62.2,62.9,8.8,25.9,16.7,18.1,8.7,2.6,41.4,69-110,.627,0.2,0-1,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Jr,6-7,Andrej Stojakovic,Illinois,B10,62.0,3.2,4.8,115.5,24.7,55.1,58.2,6.3,11.4,7.4,15.6,2.6,1.0,25.7,77-123,.626,6.5,10-44,.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,So,6-6,Isaiah Evans,Duke,ACC,68.3,3.2,7.1,119.6,21.5,53.3,59.2,1.9,11.8,8.7,13.2,4.2,1.9,35.3,26-51,.510,14.9,42-116,.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Sr,5-11,Kaden Metheny,Liberty,CUSA,84.7,3.2,2.3,120.3,19.3,60.6,62.1,0.6,7.8,14.5,9.2,0.0,1.4,15.6,27-45,.600,13.1,39-96,.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Jr,6-7,Liutauras Lelevicius,TCU,B12,56.2,3.2,5.1,138.6,13.1,62.5,67.4,3.5,13.9,6.2,8.4,0.9,1.3,27.3,19-27,.704,9.6,24-61,.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Fr,7-0,Malachi Moreno,Kentucky,SEC,54.6,3.2,8.6,133.4,18.9,65.1,66.6,13.8,18.3,12.7,12.8,6.7,2.1,61.6,56-85,.659,0.2,0-1,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Jr,6-8,Adam Olsen,South Alabama,SB,87.3,3.2,1.7,119.6,21.3,55.2,60.6,1.2,8.3,5.9,9.6,0.0,1.7,34.4,29-63,.460,13.7,48-120,.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Fr,6-4,Brayden Burries,Arizona,B12,69.1,3.2,8.0,121.3,20.9,57.6,59.8,1.9,13.8,15.0,14.6,0.9,3.6,29.2,61-100,.610,8.7,25-71,.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Sr,6-0,Sam Hoiberg,Nebraska,B10,72.5,3.2,7.8,130.5,14.3,57.3,59.3,3.5,14.9,22.4,10.4,0.6,3.6,28.1,37-61,.607,4.4,12-35,.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,So,6-5,Aiden Tobiason,Temple,Amer,85.9,3.2,1.9,119.0,19.0,57.3,61.9,1.4,9.9,12.6,13.6,0.7,2.1,40.6,43-77,.558,7.7,26-66,.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Jr,6-8,Tyler Tejada,Towson,CAA,89.0,3.2,2.5,111.5,25.0,46.7,52.1,3.4,15.6,14.6,13.0,1.5,1.1,29.1,73-146,.500,9.1,23-84,.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Sr,6-2,Tony Osburn,Nebraska Omaha,Sum,72.5,3.2,1.2,121.8,19.5,57.1,59.9,0.8,6.1,17.0,8.9,0.3,2.0,27.7,28-51,.549,12.0,35-90,.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Sr,6-4,Larry Hughes II,Cal St. Northridge,BW,73.0,3.2,5.6,118.4,22.5,57.8,61.8,0.5,8.9,7.2,11.6,1.1,3.3,30.1,41-82,.500,14.0,52-124,.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Sr,6-8,Danilo Jovanovich,Milwaukee,Horz,76.8,3.2,4.2,126.7,17.7,59.9,61.3,6.9,15.6,14.3,11.3,1.6,1.6,21.2,77-133,.579,1.5,7-13,.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Sr,6-7,Connor Hollenbeck,Idaho St.,BSky,79.2,3.2,1.5,119.4,21.2,50.4,56.0,7.9,11.2,11.7,12.7,1.3,1.5,47.8,22-59,.373,10.4,31-77,.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Jr,6-3,Tylen Riley,Tulsa,Amer,64.2,3.2,1.0,113.8,29.3,49.2,59.6,3.5,8.6,27.2,20.8,0.3,1.9,68.3,44-100,.440,4.2,12-26,.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,So,6-6,Chance Westry,UAB,Amer,70.8,3.2,6.4,116.7,26.0,51.6,56.8,3.3,9.2,28.6,13.4,2.1,2.6,58.1,69-124,.556,4.6,9-36,.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Sr,6-3,Javohn Garcia,McNeese St.,Slnd,72.2,3.2,6.0,126.4,17.3,53.9,58.6,2.0,9.9,10.9,7.7,3.1,3.7,42.6,41-74,.554,6.0,14-41,.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Jr,6-4,Finley Bizjack,Butler,BE,77.8,3.2,1.8,115.4,21.9,52.0,56.1,1.5,4.6,12.4,13.6,0.4,1.3,29.4,49-91,.538,12.4,38-113,.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Sr,7-0,Christoph Tilly,Ohio St.,B10,66.6,3.2,3.5,116.4,25.1,48.8,57.6,8.2,15.1,16.9,15.5,2.8,1.0,75.4,52-85,.612,5.3,5-37,.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Jr,6-1,Brandon Rechsteiner,Colorado St.,MWC,70.7,3.2,2.5,121.5,21.3,58.7,60.1,1.6,5.0,22.5,15.1,0.0,1.3,13.2,23-46,.500,14.3,41-98,.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Sr,6-3,Kashie Natt,Sam Houston St.,CUSA,62.3,3.2,9.4,123.4,23.1,54.2,60.5,10.9,16.9,13.0,14.9,3.0,5.5,60.4,38-79,.481,4.7,13-27,.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Sr,6-7,Rashaun Agee,Texas A&M,SEC,56.8,3.2,8.2,128.0,23.8,55.6,61.3,12.7,28.6,13.6,11.5,4.1,2.6,61.2,64-101,.634,4.7,7-33,.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
